textid,anger,disgust,fear,joy,sad,surprise
1,0.1317900707014323,0.16718799878775778,0.1055099118010445,0.12479793294977866,0.2280757059331617,0.24263837982682498
2,0.09474718700731552,0.10719558893567094,0.10780401437250674,0.22478651798348112,0.20182177806540952,0.2636449136356161
3,0.014360767008449037,0.0,0.05148534804553539,0.41683721327642137,0.1927975778034571,0.324519093866137
4,0.09894549985987626,0.06801802148603539,0.11121373951259636,0.30867118818872685,0.12149245098141317,0.29165909997135187
5,0.08562372819974974,0.07082067028826451,0.08743337237546563,0.18181645728707768,0.24795459520909918,0.3263511766403433
6,0.0962902453962075,0.05231081033317964,0.2227974492757495,0.02805829161885491,0.4547911307331568,0.14575207264285164
7,0.000853365921930773,0.0005391210730635274,0.09516341677694919,0.438746540910659,0.00484668235878131,0.4598508729586161
8,0.1262335684116744,0.03290883800453495,0.324203519427322,0.05730566006607308,0.3667910895578504,0.09255732453254523
9,0.052216715005682035,0.1794288569775197,0.02995976367343872,0.10977872807092624,0.03888108632654158,0.5897348499458916
10,0.1135095338808123,0.09966233257975891,0.1547936795757613,0.2579546441228858,0.12406636698375129,0.2500134428570304
11,0.10100695689121403,0.04515982258516036,0.24971287970476247,0.26292185264578793,0.21873617710017554,0.12246231107289965
12,0.07740238376237366,0.029853370259054532,0.15885903799916495,0.322290088703748,0.11023767617174017,0.3013574431039187
13,0.13187914880461568,0.08561549983131919,0.27630067533014846,0.18110444282648025,0.1489858652028694,0.17611436800456698
14,0.12505756072660318,0.10109666684111962,0.14603882167772994,0.25151317888711705,0.1902453522464729,0.1860484196209573
15,0.14661040647635565,0.10890589580942503,0.3412688965070344,0.11331012512739198,0.18821591804403343,0.10168875803575946
16,0.1487118256626553,0.13183578939390192,0.24390261249224862,0.16514519130164396,0.1269731827197241,0.18343139842982614
17,0.03717348460015758,0.07214149247088567,0.08262086970521919,0.4947718589011656,0.11090672160774183,0.20238557271483004
18,0.0794974243400916,0.025801092117060727,0.12969616215730284,0.04351928364352446,0.330801856236964,0.39068418150505635
19,0.04919249438159781,0.017266063095672843,0.12569141506045725,0.2907529004039472,0.18140213092524396,0.33569499613308096
20,0.13787963244891824,0.09222493478444974,0.2367330143718851,0.2558287001460977,0.12610310113132728,0.15123061711732197
21,0.12874686165631327,0.042941240777520685,0.15679348847873129,0.37389258420301585,0.12906777053683505,0.16855805434758378
22,0.061862295569992544,0.07004514933767966,0.08003572542253647,0.3136976095809185,0.11264434817983239,0.36171487190904034
23,0.13335138856778384,0.05378311212994955,0.20617576910838314,0.16010727923337176,0.28590555375802956,0.16067689720248193
24,0.11584870977079244,0.0017116002605175823,0.06199554279800549,0.004664420943318602,0.12410573175065004,0.6916739944767158
25,0.08237308061776653,0.06379124554690638,0.18592724753595827,0.37022439941661744,0.1358606919119178,0.1618233349708336
26,0.026436630556499603,0.02978572478475533,0.11167011027094383,0.30068004693005557,0.28863028941149077,0.24279719804625496
27,0.09474880960079121,0.037383515520829455,0.14037089337067482,0.32064933400653417,0.13254737288212062,0.2743000746190497
28,0.03651652952917357,0.03875114530965807,0.14863988757498306,0.23010060656268336,0.12650695748528706,0.4194848735382149
29,0.14329582217856918,0.09534622884373599,0.23126639214496084,0.1661622429532731,0.1877928146720715,0.17613649920738944
30,0.10801180356021022,0.09789341561541279,0.23515978763559714,0.2350492954748772,0.1399880063096384,0.18389769140426415
31,0.020736811279537956,0.032486026460017144,0.06588234195516435,0.4977246022273091,0.10143516201538172,0.28173505606258975
32,0.10352573074211875,0.07104771924850938,0.23856907674438763,0.24486355120118475,0.15922532058092598,0.18276860148287366
33,0.06252685659580376,0.050619635042775474,0.0944551013786779,0.3092848489893203,0.19910752281418523,0.2840060351792372
34,0.05417765634966922,0.023295573452524792,0.16561679850476949,0.46110042907291493,0.1327799551045233,0.16302958751559812
35,0.023673395558271994,0.04066478951591617,0.08959497217121026,0.5286744589944286,0.09945545896221963,0.2179369247979534
36,0.0742484449159577,0.012368106474830786,0.05880999139619645,0.519921293626772,0.2040762156874195,0.13057594789882365
37,0.06877368049368797,0.0236364773197013,0.2684379635385004,0.15789114815788044,0.1805685433232843,0.3006921871669457
38,0.08568732816399069,0.1198674493081782,0.19749141860652752,0.20035885768340447,0.10118114157556761,0.2954138046623314
39,0.1973695222417442,0.11770548945376762,0.1383789629868204,0.17718541821200764,0.10710401001847655,0.26225659708718374
40,0.12659734479461826,0.0802969707377724,0.28876563913682995,0.16916913259310376,0.1741187258531442,0.16105218688453152
41,0.034799404770167054,0.020758453588889735,0.1488760338465917,0.42912960663572325,0.1569080286919745,0.20952847246665382
42,0.10677608368963283,0.06570048174934558,0.3093336525434037,0.17753770847283581,0.13542056012386486,0.20523151342091714
43,0.03356021908464596,0.04845367797672604,0.0892510051804345,0.3525522874169011,0.1506455132062507,0.32553729713504176
44,0.17257385193374503,0.18444072017803967,0.1309152529953446,0.14354483796229825,0.20079827756116816,0.16772705936940432
45,0.04286218470180745,0.033784414367314886,0.12008658131427322,0.43331543703629755,0.1585714521748468,0.21137993040546013
46,0.06861479901554461,0.0395744618386861,0.08332840275418212,0.38973114461372216,0.08721611243537176,0.33153507934249327
47,0.07189604226242995,0.08481974566142386,0.09516928803054532,0.3084880289931983,0.13860075866814092,0.3010261363842615
48,0.0028587651042456504,0.01247915002474659,0.014293825521228255,0.5841402727496103,0.03452955989100816,0.351698426709161
49,0.12794758186475938,0.08853733131910836,0.22374783103929136,0.12064414515887395,0.3258168625999383,0.11330624801802884
50,0.11041074512699757,0.06403066730310966,0.19426019737172978,0.355110185452993,0.14149640694331808,0.13469179780185195
51,0.1263225246561335,0.06689514293057003,0.10476065381794493,0.34523384128197115,0.11159579732735349,0.2451920399860269
52,0.06025075980006768,0.01751984955685157,0.1944970247180549,0.4022153718929369,0.10734219639081896,0.21817479764127007
53,0.0004908052813028895,0.18737600398757204,0.0016518397439267741,0.15324604242705436,0.0011845808181664556,0.6560507277419776
54,0.07939589539634002,0.03336962754849132,0.08012517070725791,0.3796986171074264,0.06115055079503941,0.36626013844544486
55,0.036333210166021805,0.016405703757634862,0.10943849478998495,0.42119284327318485,0.2810565913889854,0.1355731566241882
56,0.05289645053364274,0.10241395304329005,0.023406835702613666,0.29448081218486044,0.2017266096432215,0.3250753388923715
57,0.14062674291502575,0.10974097867246589,0.16792989753683898,0.19645171632843741,0.18671128055971078,0.19853938398752122
58,0.06817338617438003,0.06422128127055715,0.11345359742949204,0.31496635574501725,0.16240100022273393,0.2767843791578198
59,0.060248230948391296,0.0324604515004751,0.15250627235772035,0.24427134103805756,0.19014138410533427,0.32037232005002136
60,0.1371005632658002,0.12452094681009934,0.17565444357194887,0.1496079772888596,0.18869280407470623,0.2244232649885858
61,0.09556318243346923,0.06571702894008945,0.15429578147540704,0.35232335258858544,0.1308200782013416,0.20128057636110716
62,0.024161581086988602,0.006830575102813205,0.1743306982843866,0.4191009019380714,0.15639249609173633,0.2191837474960037
63,0.03665552848112564,0.04414305231820148,0.024259637741057372,0.5257535805226451,0.09379332201158021,0.27539487892539005
64,0.13831721318064089,0.08103254483076398,0.28585609785232274,0.16184787064573797,0.08742934086301868,0.24551693262751562
65,0.11972259068413568,0.09463907262394433,0.14002327329300018,0.1337551036271105,0.22450690001610685,0.2873530597557024
66,0.06639463383788198,0.03614722256337842,0.28149396290195977,0.3081780028411821,0.17444124758190319,0.13334493027369462
67,0.018846893356457492,0.0534304273353743,0.025088450767395076,0.5198106359251349,0.09887271705133681,0.2839508755643015
68,0.03197381024464648,0.028935462947737155,0.1737902983829306,0.3366936614888758,0.06071845245019347,0.3678883144856166
69,0.055903409132409536,0.025643722082294904,0.1880238472183039,0.2069698533764569,0.33012055188962613,0.19333861630090848
70,0.05175641755363202,0.04378779913014783,0.10240079945342973,0.32711329042671927,0.10376608465330601,0.3711756087827651
71,0.09573489767967934,0.07320533016771788,0.14551911347564644,0.30991813433527976,0.1501834512907962,0.22543907305088043
72,0.16529015094223146,0.10910984454811949,0.04945344812202208,0.34100751056764533,0.1469231364357199,0.18821590938426178
73,0.11912292718634229,0.07474425047220229,0.29319132855681507,0.031569523665842335,0.37998657150209725,0.10138539861670072
74,0.0648751473480511,0.033134827892827554,0.16346861981955718,0.28419501092818056,0.27932202083432983,0.17500437317705386
75,0.23142539857582992,0.047674992812395574,0.33598608692009957,0.05976865987018459,0.21812230447099146,0.10702255735049883
76,0.08269267453111026,0.0676730316521407,0.12140950233495418,0.2406782374765453,0.1995656376345877,0.28798091637066203
77,0.02845413511486142,0.01719252354097812,0.12165281064412106,0.42535727473099244,0.23293308033720583,0.17441017563184114
78,0.021809465612371896,0.013747854115967366,0.06952190630019402,0.7016607503798115,0.048190702830171996,0.14506932076148335
79,0.07982211070049894,0.07138342168209644,0.1340543740614287,0.33374698698736543,0.19087372741930983,0.19011937914930063
80,0.06496487614578769,0.03875949393654797,0.11263065564559266,0.27649581118701017,0.3134686297746268,0.19368053331043475
81,0.1654170099466245,0.0980586574915472,0.1923375885406023,0.170771771132887,0.23149627360918446,0.1419186992791546
82,0.10782655749373467,0.026186846942349476,0.1697337441266009,0.2317916595792133,0.2774026517195986,0.18705854013850312
83,0.10262810036707001,0.018018850805785157,0.14471140506723548,0.37954778372160997,0.08153386112220656,0.2735599989160928
84,0.13296092407270985,0.06531028849138565,0.19243322654906272,0.07490065353116532,0.27373611537321946,0.26065879198245695
85,0.03716730943891014,0.08459794868699708,0.3870566016897218,0.0012826774828807834,0.1740416060839376,0.31585385661755255
86,0.0031753504789010165,0.0004652012632927937,0.6419253334637639,0.016115446318148027,0.004511180568399249,0.333807487907495
87,0.23197801884586602,0.07946073530806963,0.2702948561950112,0.03234323757606951,0.33977872840424955,0.04614442367073413
88,0.06086138382934136,0.04772239644745462,0.08146173681130024,0.3843486502307638,0.0880898236351114,0.3375160090460286
89,0.0675051740874779,0.04654991950421873,0.116611826465612,0.33470964821409416,0.21602322302754434,0.21860020870105293
90,0.04778813473412793,0.03888168404507292,0.1090499096407381,0.4019826421330694,0.2802463949938241,0.12205123445316754
91,0.029187298433819325,0.024407302866112066,0.05821040254549904,0.5504899760075108,0.05887915818011118,0.27882586196694764
92,0.17255758276067878,0.11179425702164457,0.33387071330324775,0.06241768593558005,0.2803139555185343,0.03904580546031449
93,0.1358604440663187,0.0865387943978542,0.164632613249209,0.28996107257912124,0.14120927822703966,0.1817977974804572
94,0.1120919804596144,0.0588022532584379,0.24097784854984478,0.25693161185300567,0.0916000673058299,0.23959623857326728
95,0.04654268215204219,0.032974793679968716,0.2161897458578539,0.24293472918367334,0.22507953485831503,0.23627851426814686
96,0.049529800951942274,0.060800309922011506,0.15649430169632936,0.32250839130524556,0.23109796350305264,0.17956923262141863
